,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
166,SA_0000001807,PUBLISHED,2016,EMR,ARE,MLE,72.3,,,,
167,SA_0000001807,PUBLISHED,2016,EMR,AFG,FMLE,142,,,,
168,SA_0000001807,PUBLISHED,2016,EMR,KWT,FMLE,153.9,,,,
169,SA_0000001807,PUBLISHED,2016,EMR,SAU,FMLE,73.7,,,,
170,SA_0000001807,PUBLISHED,2016,EMR,SAU,MLE,82.7,,,,
171,SA_0000001807,PUBLISHED,2016,EMR,PAK,MLE,113.2,,,,
172,SA_0000001807,PUBLISHED,2016,EMR,EGY,FMLE,130.2,,,,
173,SA_0000001807,PUBLISHED,2016,EMR,IRQ,FMLE,138.6,,,,
174,SA_0000001807,PUBLISHED,2016,EMR,TUN,FMLE,66.5,,,,
175,SA_0000001807,PUBLISHED,2016,EMR,YEM,FMLE,90.9,,,,
176,SA_0000001807,PUBLISHED,2016,EMR,EGY,MLE,189,,,,
177,SA_0000001807,PUBLISHED,2016,EMR,JOR,MLE,137.5,,,,
178,SA_0000001807,PUBLISHED,2016,EMR,KWT,MLE,159.8,,,,
179,SA_0000001807,PUBLISHED,2016,EMR,PAK,FMLE,123.9,,,,
180,SA_0000001807,PUBLISHED,2016,EMR,QAT,FMLE,105.7,,,,
181,SA_0000001807,PUBLISHED,2016,EMR,YEM,MLE,107.9,,,,
182,SA_0000001807,PUBLISHED,2016,EMR,SDN,MLE,131,,,,
183,SA_0000001807,PUBLISHED,2016,EMR,TUN,MLE,129.8,,,,
184,SA_0000001807,PUBLISHED,2016,EMR,BHR,FMLE,89.9,,,,
185,SA_0000001807,PUBLISHED,2016,EMR,IRN,MLE,153.2,,,,
186,SA_0000001807,PUBLISHED,2016,EMR,IRQ,MLE,180.3,,,,
187,SA_0000001807,PUBLISHED,2016,EMR,MAR,FMLE,91.1,,,,
188,SA_0000001807,PUBLISHED,2016,EMR,OMN,FMLE,73.6,,,,
189,SA_0000001807,PUBLISHED,2016,EMR,AFG,MLE,170.6,,,,
190,SA_0000001807,PUBLISHED,2016,EMR,DJI,MLE,110.6,,,,
191,SA_0000001807,PUBLISHED,2016,EMR,LBY,MLE,174.9,,,,
192,SA_0000001807,PUBLISHED,2016,EMR,OMN,MLE,110.2,,,,
193,SA_0000001807,PUBLISHED,2016,EMR,JOR,FMLE,95,,,,
194,SA_0000001807,PUBLISHED,2016,EMR,LBN,FMLE,126.7,,,,
195,SA_0000001807,PUBLISHED,2016,EMR,SOM,FMLE,143.8,,,,
196,SA_0000001807,PUBLISHED,2016,EMR,SYR,FMLE,150.6,,,,
197,SA_0000001807,PUBLISHED,2016,EMR,MAR,MLE,135.2,,,,
