,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,Comments
4620,BP_06,PUBLISHED,1980,EUR,GRC,YEARS18-PLUS,FMLE,126.0 [119.4-132.5],126.0,119.4,132.5,
4621,BP_06,PUBLISHED,1980,AMR,GTM,YEARS18-PLUS,FMLE,120.2 [112.7-127.8],120.2,112.7,127.8,
4622,BP_06,PUBLISHED,1990,AFR,GIN,YEARS18-PLUS,FMLE,128.8 [121.9-135.4],128.8,121.9,135.4,
4623,BP_06,PUBLISHED,2011,AMR,GUY,YEARS18-PLUS,FMLE,123.4 [115.6-131.3],123.4,115.6,131.3,
4624,BP_06,PUBLISHED,1985,AMR,HND,YEARS18-PLUS,FMLE,120.9 [113.7-128.0],120.9,113.7,128.0,
4625,BP_06,PUBLISHED,1986,EUR,ISL,YEARS18-PLUS,FMLE,120.8 [117.6-124.2],120.8,117.6,124.2,
4626,BP_06,PUBLISHED,2005,SEAR,IDN,YEARS18-PLUS,FMLE,126.1 [123.6-128.6],126.1,123.6,128.6,
4627,BP_06,PUBLISHED,1981,EMR,IRQ,YEARS18-PLUS,FMLE,131.5 [123.7-139.2],131.5,123.7,139.2,
4628,BP_06,PUBLISHED,1975,EUR,ISR,YEARS18-PLUS,FMLE,128.8 [121.6-135.8],128.8,121.6,135.8,
4629,BP_06,PUBLISHED,2012,AMR,JAM,YEARS18-PLUS,FMLE,123.3 [118.2-128.5],123.3,118.2,128.5,
4630,BP_06,PUBLISHED,1980,EMR,JOR,YEARS18-PLUS,FMLE,126.7 [119.6-134.0],126.7,119.6,134.0,
4631,BP_06,PUBLISHED,1997,WPR,KIR,YEARS18-PLUS,FMLE,119.1 [114.1-123.9],119.1,114.1,123.9,
4632,BP_06,PUBLISHED,1990,EUR,KGZ,YEARS18-PLUS,FMLE,124.6 [117.3-131.3],124.6,117.3,131.3,
4633,BP_06,PUBLISHED,1993,WPR,LAO,YEARS18-PLUS,FMLE,120.2 [113.6-126.7],120.2,113.6,126.7,
4634,BP_06,PUBLISHED,1984,EMR,LBN,YEARS18-PLUS,FMLE,130.1 [123.4-137.0],130.1,123.4,137.0,
4635,BP_06,PUBLISHED,1979,EUR,LUX,YEARS18-PLUS,FMLE,129.4 [121.9-137.0],129.4,121.9,137.0,
4636,BP_06,PUBLISHED,1997,EUR,LUX,YEARS18-PLUS,FMLE,125.5 [119.9-131.2],125.5,119.9,131.2,
4637,BP_06,PUBLISHED,1979,EUR,MKD,YEARS18-PLUS,FMLE,131.0 [122.1-140.0],131.0,122.1,140.0,
4638,BP_06,PUBLISHED,2009,WPR,MYS,YEARS18-PLUS,FMLE,126.1 [123.7-128.6],126.1,123.7,128.6,
4639,BP_06,PUBLISHED,1992,AFR,MLI,YEARS18-PLUS,FMLE,125.7 [119.3-132.1],125.7,119.3,132.1,
